reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,"According to the paragraph, what is a characteristic of a proton's charge?"
Is allosteric inhibitor non-competitive or competitive?,"According to the paragraph, what is the relationship between allosteric regulation and the location where an inhibitor binds?"
Why does body make more lactose?,"According to the paragraph, what impact does lactose have on the production of enzymes?"
Then why does entropy not mean messy?,"Regarding the topic of entropy, what does the paragraph state it to be?"
How do viruses and bacteria get into a cell and corrupt them?,"According to the paragraph, what are two ways a virus can enter a cell to initiate infection?"
Does allopatric speciation make subgroups or subspecies?,"According to the paragraph, what is a subspecies?"
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,"According to the paragraph, what is one difference between O2 and CO2 in terms of energy?"
Does gel electrophoresis work?,"According to the paragraph, why might the Polymerase Chain Reaction be useful in preparing for Gel electrophoresis?"
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,"According to the text, what role does the signal sequence play in the ribosome's function?"
Don't both have hydrogen bonding?,"According to the paragraph, what type of bonding do both propan-1-ol and propan-2-ol have?"
What does surface area have to do with how much energy it takes for these transfers to occur?,"According to the paragraph, how does a cell's surface area relate to the diffusion of nutrients and waste?"
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?","According to the paragraph, why does Cadmium have an oxidation of 2+?"
How would oxygen share the electrons with the two hydrogens?,What type of charge does the oxygen atom have?
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?","According to the paragraph, what is the difference in energy requirements for removing a benzylic hydrogen versus a ring hydrogen?"
How come an increase in temperature increases this combination of states?,"According to the paragraph, how does increasing temperature affect the micro-states of a gas?"
Could anything react with anything?,"According to the paragraph, what is required for two substances to react spontaneously?"
Why does flagella is not an organelle?,"According to the paragraph, what role, aside from locomotion, does the flagellum play in prokaryotic bacteria?"
Why assuming that if two electrons are in the same orbital they will be next to each other?,"According to the paragraph, what is one way that the wave properties of electrons affect how they occupy an orbital?"
Does the molecule still remains chiral?,"According to the paragraph, what determines if a molecule's mirror image is not an enantiomer?"
How to determine the oxidation state of oxygen?,"According to the rules provided, what is the oxidation state of a free element?"
Will it work until all reactants are turned into products?,"According to the text, how does the amount of a catalyst reagent needed compare to stoichiometric amounts?"
Where does evolution occur in nature?,"According to the paragraph, what is the major mechanism by which evolution takes place?"
Do the atoms share the electrons (and therefore form a bond)?,"According to the paragraph, how does an atom attain stability in relation to electrons?"
How the germ cell can go through mitosis?,"According to the paragraph, what role does mitosis play in the development of germ cells?"
Does the Cl conjugate base hang out by itself?,"According to the paragraph, what part of the water molecules are oriented toward the Cl-?"
