reference,prediction
Why/how do electrons have enough charge to negate the effects of protons?,"According to the paragraph, what is notable about the charge of a proton?"
Is allosteric inhibitor non-competitive or competitive?,"Relating to allosteric regulation, where does an allosteric inhibitor bind?"
Why does body make more lactose?,"According to the paragraph, what impact does lactose have on the production of enzymes?"
Then why does entropy not mean messy?,"According to the text, what is entropy?"
How do viruses and bacteria get into a cell and corrupt them?,"According to the paragraph, what are two different ways a virus can enter a host cell?"
Does allopatric speciation make subgroups or subspecies?,"According to the paragraph, how might subspecies form?"
Is reaction that oxygen reacts with carbon to create CO2 anabolic or catabolic?,"According to the paragraph, what property of O2 gives it more energy than CO2?"
Does gel electrophoresis work?,"According to the paragraph, why might the Polymerase Chain Reaction be used to prepare for Gel electrophoresis?"
Does that mean that ribosomes are actually in between the two phospholipid bilayers of the nuclear envelope?,"According to the paragraph, what is the relationship between ribosomes and the endoplasmic reticulum membrane?"
Don't both have hydrogen bonding?,"According to the paragraph, what type of bonding do both propan-1-ol and propan-2-ol have?"
What does surface area have to do with how much energy it takes for these transfers to occur?,"According to the paragraph, how does a cell's surface area relate to its ability to diffuse nutrients?"
"How can cadmium, an element that is somewhere around the middle of the periodic table, have an oxidation state of +2?","According to the periodic table, how many electrons does Cadmium have in its valence shell?"
How would oxygen share the electrons with the two hydrogens?,"According to the paragraph, what charge does the oxygen atom have?"
"Why not just losing a Hydrogen on the ring itself, as it can be resonance stabilized in the exact same way?","According to the paragraph, what is the consequence of removing a ring hydrogen compared to removing a benzylic hydrogen?"
How come an increase in temperature increases this combination of states?,"According to the text, how does increasing temperature affect the micro-states of a gas?"
Could anything react with anything?,"According to the paragraph, what is required for two substances to react spontaneously?"
Why does flagella is not an organelle?,"According to the paragraph, what role does the flagellum perform in prokaryotic bacteria besides locomotion?"
Why assuming that if two electrons are in the same orbital they will be next to each other?,"In terms of wave properties, what occupies the entire orbital of an electron?"
Does the molecule still remains chiral?,"According to the text, what determines whether the mirror image of a molecule is an enantiomer or the same molecule?"
How to determine the oxidation state of oxygen?,"According to the passage, what oxidation state does hydrogen have in hydrides of active metals?"
Will it work until all reactants are turned into products?,"According to the paragraph, what role does a catalyst play in a reaction where the reactants do not naturally go to completion?"
Where does evolution occur in nature?,"According to the paragraph, what is the major mechanism by which evolution takes place?"
Do the atoms share the electrons (and therefore form a bond)?,"According to the paragraph, what happens to electrons in an ionic bond?"
How the germ cell can go through mitosis?,"According to the paragraph, what role does mitosis play for germ cells?"
Does the Cl conjugate base hang out by itself?,"According to the paragraph, what part of the water molecules are oriented towards the Cl-?"
What makes the carbon dioxide go into the alveoli and the oxygen go into the capillary?,"According to the paragraph, how does the level of carbon dioxide in the blood compare to the level of carbon dioxide in the alveoli?"
Is neutron only the proton which gets kicked out?,"In what form can a neutron escape the nucleus, according to the paragraph?"
Someone pl meiosis and mitosis with respect to X chromosome?,"According to the paragraph, what is one difference between mitosis and meiosis regarding the sex chromosomes in male daughter cells?"
What is that extra H+ doing there on the head of water?,"According to the paragraph, where does the H+ involved in glycosidic bond formation originate?"
"Do cells 'hunt' for bacterium, or it's an occasion?","According to the paragraph, what draws immune cells to bacteria during an infection?"
